'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
